effect_id,study_id,study_design,construct,sub_construct,measure_type,sample_context,name,age,cleft_type,cleft_n,cleft_mean,cleft_sd,compare_n,compare_mean,compare_sd,eff_size,var,test_fam,test_analy,test_statistic,test_alpha,num_var,location,year,pal_repair_age,pal_repair_type
1296,2,5,2,22,1,0,MCDI - Expressive (raw),30,5,28,43.46,5.84,29,47.31,5.01,-0.7086,0.0746,,,,,,0,0,13.3,0
1365,2,5,2,21,1,0,MCDI - Comprehension/Conceptual (raw),30,5,28,32.04,7.97,29,37.45,7.33,-0.7071,0.0746,,,,,,0,0,13.3,0
1874,2,5,2,22,2,0,MLU,30,5,28,2.18,0.74,29,2.42,0.71,-0.3311,0.0712,,,,,,0,0,13.3,0
35,3,2,1,12,.,1,Screening Test of TDTA,104,3,10,42.4,5.42,10,48.6,4.43,-1.2526,0.2392,,,,,,0,0,.,0
317,3,2,1,12,.,1,IPAT,104,3,10,34.78,7.14,10,41.8,3.8,-1.2274,0.2377,,,,,,0,0,.,0
770,3,2,1,13,.,1,GFTA Raw Score,48,3,10,26.9,15.62,10,13.3,6.88,1.1269,0.2317,t,means(para),-2.26,0.05,1,0,0,.,0
1214,3,2,2,22,1,0,BDI - Expressive,48,3,10,0.45,0.9,10,0.71,0.75,-0.3139,0.2025,,,,,,0,0,.,0
1661,3,2,2,22,1,0,TOLD2 - SPQ,104,5,10,30.4,9.23,10,31.8,8.03,-0.1618,0.2007,,,,,,0,0,.,0
1840,3,2,2,21,1,0,BDI - Receptive,48,3,10,-0.4,0.8,10,0.58,0.84,-1.1948,0.2357,,,,,,0,0,.,0
1894,3,2,2,21,1,0,TOLD2 - LIQ,104,5,10,24.9,7.84,10,27,7.75,-0.2694,0.2018,,,,,,0,0,.,0
22,4,5,1,11,.,2,Consonant Inventory (Lexical Items),21,5,15,11.2,5.35,15,15.67,2.97,-1.036,0.1512,t,means(para),-2.828,0.01,1,0,0,12.47,0
97,4,5,1,11,.,2,True Consonant Inventory (Lexical Items),21,5,15,7.67,4.79,15,11.87,2.95,-1.0558,0.1519,t,means(para),-2.892,0.008,1,0,0,12.47,0
